article,label
"Isang Pinay na nagtatrabaho sa Dubai bilang isang nanny ang nagwagi ng halagang isang milyong piso matapos siyang mahirang bilang UAE 's (United Arab Emirates) Best Nanny of 2018. Sa 42 nannies na kandidato sa nasabing award, ang 39-anyos na si Rosie Vargas Villa ang nahirang ngayong taon bilang pinakamagaling na yaya dahil sa kanyang dedikasyon sa pag-aalaga ng mga anak ng kanyang employers na mag-a-anim na taon na niyang pinagsisilbihan. Ayon sa Khaleej Times, sa kabuuan ay 17 years na itong nagtatrabaho bilang nanny sa Dubai at nanilbihan sa iba't ibang employers. Sinorpresa ng awarding committee mula sa Rise, isang fintech company na nagpasimula ng pagbibigay ng awards sa mga nanny sa Dubai, si Rosie nang bisitahin nila ang Pinay sa bahay ng kanyang employers. Hindi napigilan ni Rosie ang mapaluha nang tanggapin niya ang award na UAE's Best Nanny ng 2018 at isang milyong piso. Nang tanungin siya kung ano ang plano niyang gawin sa napanalunang isang milyong piso, sinabi ng Pinay na tamang-tamang ang pagdating ng premyo dahil ang kaisa-isa niyang anak na babae na ngayon ay 17 years old na ay magkokolehiyo na sa susunod na school year. Gagamitin niya ang bahagi ng isang milyon sa edukasyon ng anak. Babayaran din ni Rosie ang mga utang niya sa Pilipinas at balak niyang magpatayo ng sariling bahay kung saan maaari na silang magsamang mag-ina. Ani, Rosie, babawi siya sa mga panahon na hindi niya nakapiling ang anak. Kahit sapat na raw sa kanya ang premyong natanggap para mag-retiro siya, sinabi ni Rosie na patuloy siyang magsisilbi sa employer hangga't kaya ng kanyang kalusugan dahil napakabait umano ng mga iyon sa kanya. Noong nakaraang taon, isang Pinay din - si Melanie Manansala - ang tinanghal na UAE's Best Nanny. Source 1   Source 2",1
"Hindi pinalagpas ang iba pang miyembro ng pamilya ni Pangulong Rodrigo Duterte sa panibagong black propaganda video na inilabas ng YouTube channel na Ang Totoong Narco List. Sa unang video na may titulong Ang Totoong Narco List - Episode 1, hayagang iniuugnay si presidential son at dating Davao City Vice Mayor Paolo Duterte sa kalakaran ng illegal drug trade sa bansa. https://www.youtube.com/watch?v=fhe7bT5wEWQ Isang lalaki na nagpakilalang Bikoy ang idinawit ang pangalan ni Paolo sa drug trade, sinabi na nagkakamal umano ito ng milyon-milyon mula sa iligal na droga. Ibinulgar naman ng mga taga-suporta ng Pangulo na peke at scripted lang ang black propaganda video. Ipinakita ng kilalang blogger na si Thinking Pinoy ang kanina-hinalang pirma sa nasabing video. Saad ni Paolo na may 'stamp' umano ni Trillanes ang nasabing video na ayon pa sa kanya ay isang uri ng paninirang puri. ""He may deny it, but the video supposedly showing my involvement in the illegal drug trade in the country has been clearly stamped with the indelible Trillanes signature of being a desperate mercenary, one who has done nothing good but attack the government,"" ayon kay Paolo. Pero hindi dito nagtatapos ang paninira laban sa pamilya ng Pangulo. Sa ikalawang video na may titulong Ang Totoong Narco List - Episode 2, idinamay na nila ang anak ng Pangulo na si Veronica ""Kitty"" Duterte at kanyang common law partner Honeylet Avancena. https://www.youtube.com/watch?v=vPLF7rrr21Q Ang video ay agad naman na sinopla ng university lecturer at pro-government blogger na si Sass Rogando Sasot. ""Sabi sa video wala raw ni isang big tima drug lord ang naitumba ni Mayor. Nak... mga taga Ozamis agree kayo na hindi big time drug lord si Parojinog? lol,"" banat ni Sasot. Binanatan din ni Sasot ang paratang sa video laban kay Veronica. ""Pati si Kitty dinamay na sa tumatanggap ng payola sa droga. PUT--INA. Guyzzzzzz.... ano ba toh? lol,"" buwelta pa ni Sasot.",1
"Ito ay nang makipagkasundo ang pinakamalaking produkto ng telecommunication na may mass market brand na TM upang mas mapalawak at matulungan ang mga lugar at mahihirap na kabataan sa bansa. Kikilalanin ang programa bilang ""TM Football Para Sa Bayan,"" ang ikatlong sports program na uusad bilang isang malaking inisyatibo upang magbigay ng pagkakataon sa hindi pa nadidiskubre ngunit may mga talento kabataan sa komunidad ng football, bukod pa para maipakita ang kanilang husay kontra sa magagaling na bansa. Ilulunsad ang event para sa isang taong eksklusibong programa upang tulungan ang mga kabataang umangat sa kahirapan at maipamalas ang kanilang natatagong talento sa football. ""For three years now, the ""Football para sa Bayan"" program has positively affected thousands of marginalized Filipino youth by providing them a venue to fulfill their dreams for a better life through sports. We want to grow this initiative further not only by honing their skills and increasing the level of play even at a very young age, but also helping pave the way for them to become productive and responsible citizens of our country,"" sabi ni Trina Sebastian, Director for Portfolio and Brand Management ng TM. Ang programa ay binubuo ng clinics, festivals at iba't ibang sesyon na magsisilbing lugar para sa skills development at maging sa rapport-building sa mga barangay at lokal na gobyerno. Ito ay pangungunahan ng tagapagtaguyod ng football na si Globe Ambassador, dating Azkals team captain at kasalukuyang Green Archers United co-captain/central midfielder Emelio ""Chieffy"" Caligdong. Inilunsad noong 2013, nakapagbigay ng oportunidad ang programa sa mahigit na 5,000 mahuhusay na kabataan sa 40 komunidad upang bigyan ng pagkakataon na umangat sa kanilang buhay. Halimbawa na dito ang dalawang manlalaro na nabigyan ng sports scholarship sa De La Salle-Zobel, University of the Philippines (UP) at Polytechnic University of the Philippines(PUP). 	 Isasagawa ang programa sa mga pangunahing lugar sa bansa kung saan ang festivals ay lalarga sa lungsod ng Dumaguete, Iloilo, Davao at maging sa mga probinsya ng Palawan at Capiz. Pinaghusay na rin ang pagtuturo, pasilidad at suporta sa coaching sa pakikipagkasundo sa Green Archers United kung saan ay bahagi sa programa ang pagpili ng 40 komunidad upang isali sa pagbubukas ng United Football League summer tournament. Sisimulan ng ""TM Football Para sa Bayan,"" sa una nilang serye, ang Football Festival sa pagsasagawa ng 7-side na torneo kung saan ay muling ituturo ni Caligdong ang kanyang mga natutunan sa mga kabataan ng Barotac Nuevo sa Iloilo City sa Marso 7 at 8. Gaganapin din ito sa Tondo at Payatas Football Club.",0
"Nakapiit na ngayon sa NBI detention facility si Harrel Barzaga, 39, at apat na iba pang kasama nito na nahuli sa akto habang nagpa-pot session sa Barzaga Compound sa Dasmarinas.",0
"GENERAL SANTOS CITY- Nag lunsad ang pulisya ng malawakang manhunt operations laban sa bodyguard ng isang alkalde sa Sultan Kudarat na isinasangkot sa pagpatay sa dating correspondent ng Balita sa lalawigan, noong nakaraang taon.",0
"Base sa datos mula kay NBP Supt. Richard Schwarzkopf Jr., mula sa kabuuang 2,785 preso, 1,715 sa mga ito ay senior citizen, 489 ay may kapansanan, 575 ang naka-confine sa NBP Hospital at anim na iba pa ang naka-confine sa mga ospital sa labas ng pasilidad. Hindi rin mabatid ng NBP kung ilan sa 2,785 ang kuwalipikado para sa executive clemency. Sa pagdinig sa NBP ng House Committee on Justice noong Oktubre, sinabi ni Public Attorney's Office (PAO) chief Atty. Persida Rueda-Acosta, na madalang ang pagbibigay ng executive clemency sa mga sakitin at matandang preso. Ang bagong batas sa Good Conduct Time Allowance, na may layuning mabawasan ang sentensiya ng mga preso na nagpamalas ng magandang asal upang mabawasan ang mga bilanggo, ay kinuwestiyon din ng ilang sektor sa Korte Suprema. Pinagtatalunan ng iba't ibang sektor kung ang RA 10592 (GCTA) ay matuturing na ""prospective,"" na sumasaklaw lamang sa ilang preso na pumasa, o ""retroactive"" na saklaw lahat ng bilanggo.",0
"Matatandaan na ibinulgar ni Atty. Renato Bondal sa Senate Blue Ribbon Committee na nagkakahalagang P1,000 ang isang cake na ipinamamahagi ng Makati government sa bawat citizen sa siyudad na nagdiriwang ng kanyang kaarawan. Subalit kinalaunan ay lumitaw na nagkakahalaga ang bawat birthday cake ng P308 base sa mga dokumentong iniharap ni Sen. Nancy Binay, anak ni VP Binay. Lumitaw sa imbestigasyon ng BIR na inupahan ng lokal na pamahalaan ang CMK bilang supplier ng mga birthday cake, at caterer ng Makati City Hall cafeteria at Ospital ng Makati mula 2009 hanggang 2011. Sa nabanggit na tatlong taon, nagdeklara ang CMK ng gross income na umabot sa P43.2 milyon. Subalit lumitaw sa audit ng mga tax fraud investigator na binayaran ng Makati government ang cake supplier ng P107.6 milyon.",0
"Nakatakdang humarap sa altar si Gaga at ang aktor na si Taylor Kinney na nag-alok sa kanya ng kasal noong Araw ng mga Puso, Pebrero 14, ayon sa US Weekly. Matapos yayain ni Kinney si Gaga, sila ay nagdiwang sa Joanne Tratttoria, ang restaurant na pagmamay-ari ng pamilya ni Gaga sa Upper West Side ng Manhattan, ayon sa Times Herald-Record executive editor na si Barry Lewis.",0
"SA halip na i-cite for contempt, sasampahan na lamang ng kaso ng mga mambabatas si Budget Sec. Benjamin Diokno kaugnay sa maanomalyang proyekto na napunta sa kompanya ng kanyang balae. Ayon kay House committee on appropriations chairman Rolando Andaya Jr., ipagpapatuloy ng House oversight committee na pinamumunuan ni Quezon Rep. Danilo Suarezang pagdinig . ""Unang-una (po si Sec. Diokno for) conflict of interest ho 'yan. Kaso po 'yan. 'Pag nakinabang ang anak ng isang opisyal, ba-wal po 'yon,"" ani Andaya. Ang oversight committee ang inaasahang mag-rerekomenda ng mga kasong isasampa kay Diokno at iba pang sangkot sa ire-gularidad sa Office of the Ombudsman. ""Inaayos na po [ang mga dokumento]. Kinukuha na sa akin...tina-transfer ko na 'yong mga dokumento sa kanya (Suarez),"" dagdag pa ni Andaya. Naglaan si Diokno ng bilyong pondo sa mga proyekto sa Casiguran, Sorsogon at nakuha ito ng CT Leoncio Construction and Trading na mayroong joint venture sa Aremar Construction, na pagmamay-ari ng balae ni Diokno. Itinanggi ni Diokno na alam niya na nakaupo sa puwesto ang kanyang balae kung saan napunta ang kinukuwestyong mga proyekto at ang nanalong bidder ay may kaugnayan sa Aremar. Sinabi ni Andaya na ipagpapatuloy rin ang pag-imbestiga sa P75 bilyong isiningit na pondo ni Diokno sa Department of Public Works and Highways. Inilagay umano ang P75 bilyong proyekto ma-tapos na magsumite ng budget proposal ang DPWH.",0
"Sa pamamagitan ng social media, nakikiusap si Claudine na sana'y tigilan na ang paghahambing sa dalawa. Kung inaakala raw ng bashers na masisira nila ang friendship ng dalawang nanay-aktres, nagkakamali sila. Sa Instagram post ni Claudine, inulit niya na magkaibigan sila ni Juday at mananatili ang kanilang pagkakaibigan kahit pa idinadamay ng mga bashers ang kani-kaniyang anak.",0
